,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Verified Standard ID - City/Town ID,Property Name,Address 1,City,County,State/Province,Postal Code,Year Built,Applicability,Applicability Details,Property Type ,Property GFA - Calculated (Buildings) (ft²),Estimated GFA (ft²),Latitude,Longitude
100111,1640-1666 Garnet Ave,1640-1666 Garnet Ave,San Diego,San Diego,CA,92109-3116,2015,Subject to Ordinance,,Grocery Store,60840,60840,32.80108,-117.24009
100112,16510-16516 Via Esprillo,16510 Via Esprillo,San Diego,San Diego,CA,92127-1708,1982,Subject to Ordinance,,Light Manufacturing,57338,57338,33.01476,-117.09276
100113,BFD- 1659,"1659 Gailes Blvd, BLDG A/D",San Diego,San Diego,CA,92154,2005,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Distribution Center,28127,28127,32.56728,-116.9735
100114,16644 W Bernardo Dr,16644 W Bernardo Dr,San Diego,San Diego,CA,92127-1901,1999,Subject to Ordinance,,Office,53444,53444,33.01522,-117.08345
100115,16767-16771 Bernardo Center Dr,16767-16771 Bernardo Center Dr,San Diego,San Diego,CA,92128,1998,Subject to Ordinance,,Retail,60860,60860,33.01792,-117.07522
100117,16875 W Bernardo Dr,16875 W Bernardo Dr,San Diego,San Diego,CA,92127-1675,1983,Subject to Ordinance,,Office,55267,55354,33.0192,-117.08008
100118,16885 W Bernardo Dr,16885 W Bernardo Dr,San Diego,San Diego,CA,92127-1618,1981,Subject to Ordinance,,Office,50458,50458,33.02055,-117.08013
100119,16950 Via Tazon,16950 Via Tazon,San Diego,San Diego,CA,92127-1607,2000,Subject to Ordinance,,Office,57420,57420,33.02213,-117.08615
100120,1709 Main St,1709 Main St,San Diego,San Diego,CA,92113-1025,1965,Subject to Ordinance,,Warehouse,50275,50275,32.70054,-117.14944
100121,BMR-17190 Bernardo Center Dr LP,17190 Bernardo Center Dr,San Diego,San Diego,CA,92128,1974,Subject to Ordinance,,Office,61286,61286,33.02475,-117.07741
100068,CVCC - 12225 El Camino Real,12225 El Camino Real,San Diego,San Diego,CA,92130-2084,1998,Subject to Ordinance,,Office,58995.7,58849,32.93836,-117.23846
100123,Pacific Plaza II,1802 Garnet Ave,San Diego,San Diego,CA,92109-3352,1969,Subject to Ordinance,,Other - Mall,57992,57992,32.80094,-117.23667
100124,1827 Main St,1827 Main St,San Diego,San Diego,CA,92113-2130,1960,Subject to Ordinance,,Warehouse,62000,62000,32.69948,-117.14792
100125,1822 Main St,1822 Main St,San Diego,San Diego,CA,92113-2128,1968,Subject to Ordinance,,Warehouse,52000,52000,32.70026,-117.14781
100126,Bristol Square Investment LP,185 West F St,San Diego,San Diego,CA,92101-6029,1987,Subject to Ordinance,,Office,84458,63398,32.71334,-117.16441
100127,1895 Hancock St,1895 Hancock St,San Diego,San Diego,CA,92110-2007,1945,Subject to Ordinance,,Retail Store,53000,53000,32.74295,-117.1862
100071,CVCC - 12235 El Camino Real,12235 El Camino Real,San Diego,San Diego,CA,92130-3002,1998,Subject to Ordinance,,Office,54276,54673,32.93893,-117.23966
100130,Specialty Produce,1929 Hancock St,San Diego,San Diego,CA,92110-2061,1945,Subject to Ordinance,,Wholesale Club/Supercenter,50824,50824,32.74365,-117.18763
100131,1955 San Diego Ave,1955 San Diego Ave,San Diego,San Diego,CA,92110-2105,1989,Subject to Ordinance,,Hotel,56856,56856,32.74501,-117.18672
100132,TRU Bankers Hill,2001 Fourth  Ave,San Diego,San Diego,CA,92101-2303,2021,Subject to Ordinance,,Multifamily Residence,61608,61608,32.72669,-117.16071
100133,Mission Brewery Plaza,2150 W Washington St,San Diego,San Diego,CA,92110-2044,1990,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Office,36198,36198,32.74165,-117.18392
100134,2191 Main St,2191 Main St,San Diego,San Diego,CA,92113-2217,1942,Subject to Ordinance,,Non-Refrigerated Warehouse,52500,52500,32.69565,-117.14237
100067,Executive Center Del Mar - 12220,12220 El Camino Real,San Diego,San Diego,CA,92130,1998,Subject to Ordinance,,Office,62684,56552,32.93686,-117.24017
100138,2275 Michael Faraday Dr,2275 Michael Faraday Dr,San Diego,San Diego,CA,92154-7927,2001,Subject to Ordinance,,Non-Refrigerated Warehouse,70967,62336,32.55772,-116.93124
100140,ICE Otay,2297 Niels Bohr Ct,San Diego,San Diego,CA,92154,2001,Subject to Ordinance,,Office,53401,52881,32.55624,-116.93937
100141,2321 Siempre Viva Ct,2321 Siempre Viva Ct,San Diego,San Diego,CA,92154,2008,Subject to Ordinance,,Warehouse,54000,54000,32.55657,-116.97624
100142,2355 Northside Dr,2355 Northside Dr,San Diego,San Diego,CA,92108-2705,1990,Subject to Ordinance,,Office,53610,53610,32.78393,-117.12536
100069,Executive Center Del Mar - 12230,12230 El Camino Real,San Diego,San Diego,CA,92130,1998,Subject to Ordinance,,Office,62684,56552,32.93744,-117.24022
100144,2480 Britannia Blvd,2480 Britannia Blvd,San Diego,San Diego,CA,92154,2004,Subject to Ordinance,,Manufacturing,60000,60000,32.55446,-116.98312
100145,2535 Camino Del Rio S,2535 Camino Del Rio S,San Diego,San Diego,CA,92108,1983/1999,Subject to Ordinance,,Office,52121,52121,32.76793,-117.13562
100147,Redwood Building,2727 Camino Del Rio S,San Diego,San Diego,CA,92108-3750,1972,Subject to Ordinance,,Office,54452,54452,32.76926,-117.13475
100148,903 Liberty Station,2750 Womble Rd,San Diego,San Diego,CA,92106,2003,Subject to Ordinance,,Office,63684,60383,32.73471,-117.21553
100149,"Seligman Liberty Station, LLC building 1",2816 Historic Decatur Rd,San Diego,San Diego,CA,92106,1934,Subject to Ordinance,,Restaurant,58596,60000,32.74022,-117.21119
100150,286 Euclid Ave,286 Euclid Ave,San Diego,San Diego,CA,92114-3610,1974/2002,Not Subject to Ordinance,"GFA ≤ 50,000 sqft",Medical Office,30000,60000,32.70714,-117.08558
100151,The Consulate Hotel,2901 Nimitz Blvd,San Diego,San Diego,CA,92106-2321,1970,Subject to Ordinance,,Hotel,63234,63234,32.72787,-117.22541
100152,SHARP | 2929 Health Center Dr,2929 Health Center Dr,San Diego,San Diego,CA,92123,1996,Subject to Ordinance,,Medical Office,59857,60440,32.79934,-117.1541
100491,Paseo Del Mar - Building 12255,12255 El Camino Real,San Diego,San Diego,CA,92130,2006,Subject to Ordinance,,Office,77533,74526,32.94043,-117.23925
100154,3033 5th Ave,"3033 5th Ave, STE  225",San Diego,San Diego,CA,92103-5856,1989,Subject to Ordinance,,Office,52525,52180,32.737,-117.16004
100493,Paseo Del Mar - Building 12265,12265 El Camino Real,San Diego,San Diego,CA,92130,2006,Subject to Ordinance,,Office,76719,78008,32.94016,-117.23975
100156,308-330 G St,308-330 G St,San Diego,San Diego,CA,92101-6920,1913,Subject to Ordinance,,Retail/Residential,63616,63616,32.71278,-117.16167
100157,3085 Beyer Blvd,3085 Beyer Blvd,San Diego,San Diego,CA,92154-3479,1986,Subject to Ordinance,,Warehouse,60000,60000,32.57181,-117.06584
100158,Horton Grand Hotel,311 Island Ave,San Diego,San Diego,CA,92101,1986,Subject to Ordinance,,Hotel,107615,58140,32.71024,-117.16148
100617,3770 Torrey View Ct,3770 Torrey View Ct,San Diego,San Diego,CA,92130-2622,2000,Subject to Ordinance,,Office,92913,93000,32.92128,-117.23177
