OID_,OSHPD_ID,PERM_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
624,406370654.000000000000000,,CENTERWELL HOME HEALTH,80000015.000000000000000,Home Health Agency,2525 CAMINO DEL RIO S,SAN DIEGO,92108.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,1/1/1971 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.767791299999999,-117.137551000000002
625,406370829.000000000000000,,PACIFIC POINT HOME HEALTH & PALLIATIVE CARE,550004044.000000000000000,Home Health Agency,6170 CORNERSTONE CT E,SAN DIEGO,92121.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,2/23/2022 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.895954000000003,-117.187637199999998
626,406370830.000000000000000,,"ACCENTCARE HOME HEALTH AT UC SAN DIEGO, LLC",550004034.000000000000000,Home Health Agency,5060 SHOREHAM PLACE,SAN DIEGO,92122.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,5/1/2018 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.851847999999997,-117.185753399999996
627,406370856.000000000000000,,"ALL CONCIERGE HOMEHEALTH, INC.",550004225.000000000000000,Home Health Agency,2038 CORTE DEL NOGAL,CARLSBAD,92011.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/15/2024 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.119002100000003,-117.279312000000004
628,406370929.000000000000000,,"BELLE VIE HOME HEALTH, INC.",550004084.000000000000000,Home Health Agency,1220 GREENFIELD DR,EL CAJON,92021.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,12/18/2017 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.813673700000002,-116.939385400000006
629,406371016.000000000000000,,KAISER FOUNDATION HOSP SAN DIEGO HHA,80000129.000000000000000,Home Health Agency,8010 PARKWAY DR,LA MESA,91942.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/26/2018 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.776446499999999,-117.026170600000000
630,406371337.000000000000000,,COMFORCARE HOME CARE NORTH COUNTY SAN DIEGO,550004312.000000000000000,Home Health Agency,830 E VISTA WAY,VISTA,92084.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,7/9/2018 0:00:00,Home Health Agency/Hospice,Home Health Agency,33.210837099999999,-117.234930800000001
631,406371525.000000000000000,,KAISER FOUNDATION HOSPITAL SAN DIEGO HOSPICE,80000129.000000000000000,Home Health Agency,10992 SAN DIEGO MISSION RD,SAN DIEGO,92108.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/26/2018 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.785930100000002,-117.101931899999997
632,406371527.000000000000000,,HEALTHPEAK HOME HEALTH - BRANCH,550001940.000000000000000,Home Health Agency,1605 SCOTT AVE,EL CENTRO,92243.000000000000000,13.000000000000000,Imperial,Not Applicable,,Open,5/8/2025 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.801056000000003,-115.572357999999994
633,406371533.000000000000000,,"SEA COAST HOME HEALTH CARE, INC.",550004471.000000000000000,Home Health Agency,8380 MIRAMAR MALL,SAN DIEGO,92121.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,12/7/2018 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.879901699999998,-117.183219399999999
634,406371565.000000000000000,,BRIGHTSTAR CARE OF N. CENTRAL SAN DIEGO/LA JOLLA,550004593.000000000000000,Home Health Agency,8555 AERO DR,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,1/9/2019 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.808881200000002,-117.143479299999996
635,406371602.000000000000000,,RADIANT HOSPICE,550003749.000000000000000,Hospice,7675 Dagget St,San Diego,92111.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,11/22/2022 0:00:00,Home Health Agency/Hospice,Hospice,32.823198800000000,-117.158530400000004
636,406371619.000000000000000,,"ALLEVIATION HOSPICE CARE, INC.",550003637.000000000000000,Hospice,7940 SILVERTON AVE,SAN DIEGO,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,9/6/2024 0:00:00,Home Health Agency/Hospice,Hospice,32.891431599999997,-117.150539100000003
637,406371647.000000000000000,,SEAPORT SCRIPPS HOME HEALTH,80000215.000000000000000,Home Health Agency,3750 CONVOY ST,SAN DIEGO,92111.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,12/16/2020 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.812148100000002,-117.153471300000007
638,406371665.000000000000000,,"ACCENTCARE HOME HEALTH OF CALIFORNIA, INC.",80000226.000000000000000,Home Health Agency,5050 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,5/14/2012 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.830446299999998,-117.120557700000006
639,406371734.000000000000000,,ABILITY HOME HEALTH SERVICES INC.,550004552.000000000000000,Home Health Agency,9560 CANDIDA ST,SAN DIEGO,92126.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,2/25/2021 0:00:00,Home Health Agency/Hospice,Home Health Agency,32.896735000000000,-117.122301199999995
640,406371794.000000000000000,,COMFORT AND PEACE HOSPICE,550004122.000000000000000,Hospice,3944 MURPHY CANYON RD,SAN DIEGO,92123.000000000000000,37.000000000000000,San Diego,Not Applicable,,Open,1/9/2022 0:00:00,Home Health Agency/Hospice,Hospice,32.816687999999999,-117.117635199999995
