objectid,site_code,common_nm,managing_dept,location,cmty_plan,desg_use,site_acres,dedicated_park,pud_branch,site_restriction,reso_ord_num,reso_ord_dt,globalid,shape_Length,shape_Area
885,H606RO,SABRE SPRINGS OPEN SPACE,Parks & Recreation,POWAY RD & SABRE SPRINGS PKWY,Sabre Springs,OSDED,22.869000000000000,Y,,DEDOS,R-307952,01/02/2013,{1B8FF3D5-CE26-4227-86BF-3FF936A9307D},8432.923687490510929,982406.358112922403961
886,O304RD,WESTERN HILLS PARK,Parks & Recreation,KANE ST & GARFIELD RD,Clairemont Mesa,NPARK,12.770000000000000,Y,,DEDOS,O-15144,12/28/1979,{FC521EE4-2D99-4501-B964-01E3D128604F},3267.494018170244090,558580.262032621074468
887,E901RU,MT WOODSON OPEN SPACE,Parks & Recreation,MT WOODSON RD WLY HWY 67,Co-Mt Woodson Master,OSDESG,380.160000000000025,N,,SFR,R-220103,01/18/1978,{94E6DA90-6459-413A-BE2C-16430D9C03D8},17139.589374329880229,12497683.032140381634235
888,T707RD,BAY TERRACES COMM PARK,Parks & Recreation,CASEY ST ELY APPIAN DR,Skyline-Paradise Hls,CMTYPK,12.089000000000000,Y,,DEDOS,O-15084,11/19/1979,{A55E61E6-2F55-4E6F-AF5A-1562B6048275},3036.259353873655527,524351.417443065438420
889,L312RO,ROSE CANYON OPEN SPACE,Parks & Recreation,GENESEE AV & AT&SFRR NELY OF,University,OSDED,0.529000000000000,Y,,DEDOS,R-307952,01/02/2013,{6D4015BB-3BB1-42CD-8D26-8CB990B4ADF8},834.824228595707723,16724.622885559274437
890,B602PM,SITE 441,PUD - Water,VIA RCHO PKWY NLY SAN SOUCI DR,San Pasqual Valley,NOTDESG,3.808000000000000,N,WATER,NONE,R-276627,10/01/1990,{A41D9520-2CC2-46C2-BCC9-64A272DAC6B8},1705.646659449667141,155882.963347377692116
891,T508GM,S CHOLLAS CREEK CHANNEL,Stormwater,MAIN ST & WABASH BLVD NWLY,Barrio Logan,DRAIN,0.121000000000000,N,,NONE,R-251224,02/19/1980,{48DB3738-4D38-4B23-9CEE-7F28C6EE48D8},356.466874496010689,3841.841544153922769
892,G407RO,MC GONIGLE CANYON OPEN SPACE,Parks & Recreation,CAMINO RUIZ WLY/SLY ROUTE 56,Torrey Highlands,OSDED,38.457999999999998,Y,,DEDOS,R-307952,01/02/2013,{2870534D-0BB1-4B9F-A67C-4C38F038F59F},12311.073494549924362,1674144.954613252077252
893,M801WM,SD RIVER FLOOD CHANNEL,PUD - Water,MISSION GORGE RD & MESA RD NLY,East Elliott,FLDCTRL,104.716999999999999,N,WATER,UNK,R-251059,01/28/1980,{7D8A34F5-055D-468D-803F-1955E05074BF},15168.360814031828340,4726630.032158307731152
894,S639GM,CHOLLAS FLOOD CHANNEL,Stormwater,IMPERIAL AV & 45TH ST NWLY OF,Southeast San Diego,DRAIN,0.102000000000000,N,,NONE,R-223701,06/11/1979,{27BE908A-C70B-4E62-BE0D-9A195866DCC5},279.866743407161380,4671.818854088115586
895,R539RO,32ND ST CANYON OPEN SPACE,Parks & Recreation,ASH ST ELY EDGEMONT ST,Greater Golden Hill,OSDED,2.566000000000000,Y,,DEDOS,R-303253,12/18/2007,{1A8AA5E5-61A1-449B-B8BC-882E400C081B},3035.086732716753431,113206.818356488525751
896,P527RO,EUGENE PLACE OPEN SPACE,Parks & Recreation,WLY WARD RD SELY EUGENE PL,Normal Heights,OSDED,3.513000000000000,Y,,DEDOS,R-307952,01/02/2013,{CEFB6F4B-5E40-4267-BCF6-DA323224B95D},2387.127287230841375,186416.575309327017749
897,P517PM,STADIUM LAND - FORMER (PUD),Real Estate,I-8 & I-15 NWLY OF,Mission Valley,CMTYPK,45.195999999999998,N,WATER,NONE,R-000000,08/25/1980,{074FFB6B-9DBB-4C0D-81C7-38E00F58A934},11546.194902745361105,1902942.472382498905063
898,J202RD,TORREY PINES CITY PARK,Parks & Recreation,TORREY PINES RD,University,RPARK,461.997000000000014,Y,,DEDOS,O-99999,?,{948629FF-500D-4A6A-A7C9-5AE6BA718EA5},42229.471357191971038,20879196.212877620011568
899,N706RD,TUXEDO PARK,Parks & Recreation,TUXEDO RD WLY ROWENA,Navajo,NPARK,9.372999999999999,Y,,DEDOS,O-15718,04/14/1982,{5F1CE7E2-09D2-4EEF-9125-9605227C46E6},3522.100073305090518,439105.080434342788067
900,N609RO,TIERRASANTA OPEN SPACE,Parks & Recreation,TIERRA SANTA BLV ELY TAMBOR,Tierrasanta,OSDED,124.625000000000000,Y,,DEDOS,R-307952,10/10/1983,{454015A3-4A65-48C3-A1D2-491C5E56123D},20381.234006638467690,5455278.746827002614737
901,G303RU,FAIRBANKS COUNTRY CLB OPEN SPACE,Parks & Recreation,ELY SAN DIEGUITO RD,Fairbanks Rch Country Clb,OSDESG,13.347000000000000,N,,SFR,R-259343,09/27/1983,{1F62D8C2-88A9-484E-9587-D5B884858223},4259.262094842606530,585856.954251398681663
902,G411GM,SR 56 AREA BIKE PATH,Transportation,Rancho del Sol Way,Pacific Highlands Ranch,BIKE,1.280000000000000,N,,NONE,R-250320,10/01/1979,{073F8A21-84F0-4296-8C34-B0FC4D1179E3},958.235030455780816,47352.576623048007605
903,Q504RD,WABASH MINI-PARK,Parks & Recreation,UNIVERSITY AVE & WABASH AVE,City Heights,MPARK,0.170000000000000,Y,,SFR,R-000000,?,{54AB4255-8B24-4F90-BE89-251BD85D9128},340.611822923954094,5711.380746983757490
904,P517P1,STADIUM LAND - FORMER (GENERAL FUND),Real Estate,FRIARS RD & QUALCOMM WY,Mission Valley,CMTYPK,0.390000000000000,N,,NONE,R-289609,12/16/1997,{53F2A670-2A16-46E3-BB5F-D243B86C371E},326.096136229565957,4596.422235464155165
905,P503PM,MISSION VIEW PARK,Real Estate,CANTERBURY DR N END OF,Kensington-Talmadge,NOTDESG,0.047000000000000,Y,,SFR,R-0000000,?,{3515618D-A334-4E31-A06C-892594910BE1},175.754222923590021,1077.556991492861016
906,S503LB,LOGAN HTS BRANCH LIBRARY-FORMER,Library,811 S. 28TH ST.,Southeastern San Diego,UREV,0.186000000000000,N,,UNK,O-10200,11/09/1925,{8FD6E84F-084A-4AEC-914E-9BAD1E2EB2E9},443.665448625067427,8725.470896886292394
907,M602WM,ANTIGUA BL WATER PUMP STA,PUD - Water,ANTIGUA BL ELY SANTO RD,Tierrasanta,WTRPUMP,0.181000000000000,N,WATER,SFR,R-262404,01/28/1985,{C788A9F2-642E-4A69-92BD-7491D5D601C3},495.500910358590033,13326.810542154928044
