ein,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
953072188,San Diego,CA,92117-3600,3,2023.0,34082632.0,29060270.0,44075481.0,
952648050,San Diego,CA,92110-4638,3,2023.0,22519823.0,23159603.0,12437674.0,
953287745,San Diego,CA,92130-2474,3,2023.0,27139045.0,28072500.0,63557550.0,
272938491,San Diego,CA,92106-6146,3,2023.0,9968292.0,11951930.0,6651643.0,
141886373,San Diego,CA,92101-5010,3,2024.0,14954198.0,11601289.0,24988487.0,
452609877,San Diego,CA,92101-3359,3,2023.0,5940102.0,5699029.0,4381408.0,
956095644,San Diego,CA,92107-1006,3,2023.0,6090932.0,3785083.0,8257442.0,
956044429,San Diego,CA,92101-4095,3,2023.0,7236335.0,11104070.0,13243536.0,
141858753,San Diego,CA,92101-4302,3,2023.0,4337118.0,6548928.0,110066866.0,
956089611,San Diego,CA,92123-4446,3,2023.0,6968186.0,6498105.0,5754152.0,
330823218,San Diego,CA,92127-2428,3,2023.0,3493588.0,2833266.0,2027863.0,
330022489,San Diego,CA,92127-1400,3,2023.0,3006081.0,2927702.0,1084676.0,
330785173,San Diego,CA,92101-8550,3,2023.0,1631761.0,1461543.0,1871691.0,
952157559,San Diego,CA,92104-2809,3,2023.0,2398526.0,2975537.0,5013727.0,
262237918,San Diego,CA,92105-5455,3,2023.0,1888243.0,1971255.0,1004346.0,
237380943,San Diego,CA,92101-1684,3,2023.0,2432524.0,2696817.0,3919879.0,
951728991,San Diego,CA,92101-1664,3,2023.0,1238543.0,2346189.0,5753235.0,
330883460,San Diego,CA,92105-1289,3,2023.0,2990999.0,2344670.0,4510558.0,
274529565,San Diego,CA,92110-4638,3,2023.0,2116434.0,1851591.0,14973784.0,
201585919,San Diego,CA,92101-3708,3,2023.0,1920810.0,2229413.0,2170892.0,
952880426,San Diego,CA,92123-1305,3,2023.0,2517328.0,2067484.0,2918829.0,
832553368,San Diego,CA,92114-2203,3,2023.0,1425033.0,1115696.0,798963.0,
956100273,San Diego,CA,92117-4547,3,2024.0,1729535.0,1897558.0,7569743.0,
300507718,San Diego,CA,92101-8098,3,2023.0,2045549.0,2143730.0,943813.0,
952303700,San Diego,CA,92101-1684,3,2023.0,1863686.0,1271076.0,1845208.0,
951185630,San Diego,CA,92109-7404,3,2023.0,1434418.0,1524940.0,2503968.0,
331147422,San Diego,CA,92111-2420,3,2024.0,1294334.0,1535759.0,110452.0,
330821060,San Diego,CA,92114-2222,3,2023.0,882255.0,986923.0,944248.0,
330522932,San Diego,CA,92104-4089,3,2023.0,1370058.0,1492920.0,362949.0,
