ein,strein,name,sub_name,city,state,ntee_code,subseccd,score,search_query,org_city,org_state,org_zip,subsection_code,latest_tax_year,latest_total_revenue,latest_total_expenses,latest_total_assets,status
951728991,95-1728991,San Diego Historical Society,San Diego Historical Society,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92101-1664,3,2023.0,1238543.0,2346189.0,5753235.0,
330883460,33-0883460,San Diego Futures Foundation,San Diego Futures Foundation,San Diego,CA,B99,3,86.670235,san diego,San Diego,CA,92105-1289,3,2023.0,2990999.0,2344670.0,4510558.0,
274529565,27-4529565,San Diego Youth Foundation,San Diego Youth Foundation,San Diego,CA,O50,3,86.670235,san diego,San Diego,CA,92110-4638,3,2023.0,2116434.0,1851591.0,14973784.0,
201585919,20-1585919,Voice Of San Diego,Voice Of San Diego,San Diego,CA,A30,3,86.670235,san diego,San Diego,CA,92101-3708,3,2023.0,1920810.0,2229413.0,2170892.0,
952880426,95-2880426,Elderhelp Of San Diego,Elderhelp Of San Diego,San Diego,CA,P81Z,3,86.670235,san diego,San Diego,CA,92123-1305,3,2023.0,2517328.0,2067484.0,2918829.0,
832553368,83-2553368,San Diego Parks Foundation,San Diego Parks Foundation,San Diego,CA,N32,3,86.670235,san diego,San Diego,CA,92114-2203,3,2023.0,1425033.0,1115696.0,798963.0,
956100273,95-6100273,San Diego Bird Alliance,San Diego Bird Alliance,San Diego,CA,C300,3,86.670235,san diego,San Diego,CA,92117-4547,3,2024.0,1729535.0,1897558.0,7569743.0,
300507718,30-0507718,San Diego Hunger Coalition,San Diego Hunger Coalition,San Diego,CA,K30,3,86.670235,san diego,San Diego,CA,92101-8098,3,2023.0,2045549.0,2143730.0,943813.0,
952303700,95-2303700,San Diego Junior Theatre,San Diego Junior Theatre,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92101-1684,3,2023.0,1863686.0,1271076.0,1845208.0,
951185630,95-1185630,San Diego Rowing Club,San Diego Rowing Club,San Diego,CA,,3,86.670235,san diego,San Diego,CA,92109-7404,3,2023.0,1434418.0,1524940.0,2503968.0,
331147422,33-1147422,San Diego Musical Theatre,San Diego Musical Theatre,San Diego,CA,A65,3,86.670235,san diego,San Diego,CA,92111-2420,3,2024.0,1294334.0,1535759.0,110452.0,
330821060,33-0821060,Mana De San Diego,Mana De San Diego,San Diego,CA,B80,3,86.63316,san diego,San Diego,CA,92114-2222,3,2023.0,882255.0,986923.0,944248.0,
330522932,33-0522932,San Diego Housing Federation,San Diego Housing Federation,San Diego,CA,B99Z,3,86.63316,san diego,San Diego,CA,92104-4089,3,2023.0,1370058.0,1492920.0,362949.0,
953284521,95-3284521,San Diego Organizing Project,San Diego Organizing Project,San Diego,CA,S99,3,86.63316,san diego,San Diego,CA,92113-2047,3,2023.0,785890.0,925067.0,834136.0,
330488298,33-0488298,San Diego Childrens Choir,San Diego Childrens Choir,San Diego,CA,Z99Z,3,86.63316,san diego,San Diego,CA,92101-3552,3,2023.0,1105806.0,989619.0,297460.0,
953477071,95-3477071,San Diego Diplomacy Council,San Diego Diplomacy Council,San Diego,CA,S30,3,86.63316,san diego,San Diego,CA,92105-1696,3,2024.0,833276.0,762918.0,607143.0,
